epoch,train_acc,train_loss,test_acc,test_loss
1,10.342000007629395,2.3864905142211916,10.529999732971191,2.38352758102417
2,10.380000114440918,2.4779176727294923,10.579999923706055,2.4762208744049072
3,10.017999649047852,2.4612139056396485,10.0600004196167,2.4562530612945555
4,11.423999786376953,2.4330659103393555,11.960000038146973,2.4318785205841063
5,10.404000282287598,2.3968046994018555,10.229999542236328,2.3944113960266113
6,10.055999755859375,2.507902562561035,9.9399995803833,2.5094411361694338
7,10.321999549865723,2.4644683236694336,10.84000015258789,2.4628352088928223
8,11.454000473022461,2.341068896484375,11.319999694824219,2.3430548419952393
9,11.402000427246094,2.3444588150024415,12.220000267028809,2.339284711456299
10,10.553999900817871,2.402513451538086,10.09000015258789,2.4006234477996826
11,11.406000137329102,2.343468116760254,12.039999961853027,2.342960863113403
12,10.583999633789062,2.4082028732299805,10.4399995803833,2.404537823486328
13,10.887999534606934,2.4210747692871095,10.609999656677246,2.422650415420532
14,11.130000114440918,2.357620055847168,11.420000076293945,2.353651879119873
15,10.02400016784668,2.378872455444336,10.0600004196167,2.375755340194702
16,10.723999977111816,2.341358123474121,10.640000343322754,2.339428470611572
17,11.631999969482422,2.3391904415893556,11.050000190734863,2.3379638000488283
18,11.657999992370605,2.3165545123291014,11.819999694824219,2.314268410110474
19,10.104000091552734,2.401753125305176,10.279999732971191,2.4034017528533935
20,11.157999992370605,2.370188705444336,11.289999961853027,2.368072631072998
21,13.140000343322754,2.374495365600586,12.949999809265137,2.377970838546753
22,12.204000473022461,2.4274053659057615,12.119999885559082,2.429557400894165
23,13.746000289916992,2.3453651171875,13.760000228881836,2.3468615169525147
24,10.57800006866455,2.6033218786621095,10.619999885559082,2.6007187866210937
25,10.12600040435791,2.3436766146850587,10.170000076293945,2.344757257080078
26,11.37399959564209,2.399076826171875,10.9399995803833,2.403146017074585
27,11.215999603271484,2.3747567764282227,10.989999771118164,2.3764526210784913
