epoch,train_acc1,train_acc2,train_loss1,train_loss2,test_acc1,test_acc2,test_loss1,test_loss2
1,10.003999710083008,10.739999771118164,2.673556017150879,2.8529009088134765,10.0,11.279999732971191,2.6454993366241455,2.812206676483154
2,10.0600004196167,10.015999794006348,3.308359674682617,3.645108030395508,10.029999732971191,10.0,3.405457614135742,3.925660422515869
3,10.166000366210938,11.145999908447266,3.1755131958007814,2.930177751159668,10.380000114440918,12.420000076293945,3.1340778465270995,2.9585285945892332
4,11.324000358581543,10.220000267028809,2.5300866470336913,2.509904483947754,11.600000381469727,9.34000015258789,2.5426314853668215,2.563036422729492
5,10.008000373840332,9.979999542236328,2.57958529296875,2.484095289916992,10.0,10.25,2.5862605010986326,2.506312558364868
6,10.12399959564209,10.005999565124512,2.6131894357299803,2.639950517272949,9.819999694824219,10.0,2.6605873958587645,2.7414853775024413
7,11.423999786376953,10.399999618530273,2.5547152658081056,2.537673604736328,11.970000267028809,10.800000190734863,2.590618719100952,2.6161041927337645
8,10.9399995803833,10.302000045776367,2.357786675109863,2.390893040161133,11.510000228881836,10.479999542236328,2.364110844039917,2.3959405170440675
9,12.005999565124512,11.79800033569336,2.374641040344238,2.389619346008301,12.609999656677246,12.470000267028809,2.3988535343170168,2.4089098426818847
10,11.562000274658203,10.902000427246094,2.4833452154541016,2.4604118780517577,11.140000343322754,10.65999984741211,2.5377298717498777,2.524580153656006
11,12.25,11.383999824523926,2.3324347326660155,2.322767388305664,12.529999732971191,12.100000381469727,2.3412924880981447,2.336242588806152
12,14.607999801635742,12.942000389099121,2.342657197265625,2.3392126300048828,14.300000190734863,14.359999656677246,2.3475940856933595,2.3533080436706544
13,15.803999900817871,15.628000259399414,2.3200306918334963,2.3378869494628907,15.5,15.529999732971191,2.333702366256714,2.3632193714141847
14,13.565999984741211,14.222000122070312,2.3182207431030273,2.3253891076660156,13.739999771118164,14.1899995803833,2.3273460384368896,2.3507263416290285
15,10.081999778747559,10.015999794006348,2.3727681149291993,2.3738458157348634,10.119999885559082,10.0,2.3989882438659667,2.4143914096832275
16,13.057999610900879,12.694000244140625,2.2971959127807615,2.3151140686035157,13.40999984741211,12.869999885559082,2.3073699558258056,2.3314234329223633
17,16.719999313354492,16.70800018310547,2.2146620379638673,2.221430315551758,16.610000610351562,16.709999084472656,2.222220171737671,2.24085553894043
18,14.097999572753906,14.317999839782715,2.246594616699219,2.2674140753173826,13.529999732971191,14.979999542236328,2.265733295059204,2.288958435821533
19,16.280000686645508,16.062000274658203,2.224417924194336,2.2424131912231444,16.510000228881836,16.1299991607666,2.2328397010803225,2.268257490348816
20,14.131999969482422,13.779999732971191,2.1987306716918944,2.204391904602051,13.220000267028809,12.449999809265137,2.2034562576293943,2.215006838989258
21,16.125999450683594,16.031999588012695,2.374202501220703,2.389484092712402,16.0,16.139999389648438,2.4000900062561037,2.445155017089844
22,16.275999069213867,16.332000732421875,2.277900163269043,2.2845944747924807,16.739999771118164,17.530000686645508,2.2952463600158692,2.299260116958618
23,16.054000854492188,16.68199920654297,2.176527493591309,2.175845973510742,16.06999969482422,16.93000030517578,2.1714151737213134,2.1799093620300294
24,16.1200008392334,15.956000328063965,2.6988432067871093,2.689393670654297,16.8799991607666,16.170000076293945,2.7458095779418947,2.8649972316741943
25,11.70199966430664,11.697999954223633,2.249005821838379,2.2465909759521483,12.289999961853027,11.979999542236328,2.2472023208618164,2.2485974319458006
26,18.360000610351562,19.399999618530273,2.4045361849975584,2.407685160522461,20.219999313354492,21.229999542236328,2.38389633140564,2.4405712593078612
27,12.260000228881836,12.149999618530273,2.2420171026611326,2.234080040283203,11.479999542236328,11.319999694824219,2.2325742782592775,2.242535746002197
28,17.54599952697754,17.027999877929688,2.2552878359985353,2.2733322286987305,17.93000030517578,18.010000228881836,2.2547472381591795,2.2706163990020753
29,17.4060001373291,17.24799919128418,2.111721273498535,2.115036943664551,17.540000915527344,17.34000015258789,2.105996128463745,2.1193344398498537
30,18.520000457763672,18.68600082397461,2.2296844186401366,2.2199413671875,19.25,20.799999237060547,2.2199669841766356,2.220968169403076
31,11.564000129699707,11.538000106811523,2.367031462402344,2.3881547064208983,12.069999694824219,12.0600004196167,2.3783483924865725,2.406700733947754
32,15.342000007629395,15.720000267028809,2.264639186096191,2.3327370510864256,16.1200008392334,17.1200008392334,2.2794828449249267,2.320142065811157
33,17.100000381469727,16.908000946044922,2.139740823364258,2.137825673828125,17.920000076293945,17.1200008392334,2.130358101654053,2.12283604888916
34,19.07200050354004,19.214000701904297,2.160863252258301,2.1704774810791014,20.200000762939453,20.780000686645508,2.1538933292388918,2.163760918426514
35,12.25,11.772000312805176,2.2742542584228516,2.2783756213378905,12.34000015258789,11.390000343322754,2.2688426906585692,2.2753225238800048
36,17.72599983215332,17.600000381469727,2.1948474270629883,2.1908490563964844,18.059999465942383,17.780000686645508,2.18185219039917,2.1799605590820312
37,14.545999526977539,14.552000045776367,2.1938368075561523,2.201787520446777,15.75,14.859999656677246,2.1740987491607666,2.1763488689422608
38,18.56800079345703,19.035999298095703,2.1158561645507814,2.1333865505981446,20.079999923706055,21.030000686645508,2.108846820068359,2.107788191986084
39,16.3439998626709,16.104000091552734,2.2453893048095703,2.2489093765258787,17.540000915527344,17.6299991607666,2.247674206542969,2.231866752243042
40,13.020000457763672,13.47599983215332,2.3332066021728517,2.3626008630371094,14.75,16.1200008392334,2.3272501468658446,2.3654428596496584
41,12.229999542236328,12.300000190734863,2.217103282165527,2.218070418395996,11.15999984741211,11.699999809265137,2.205679058074951,2.2145161933898927
42,19.13800048828125,19.558000564575195,2.1229896130371095,2.132065825805664,19.93000030517578,20.729999542236328,2.113510322189331,2.1238540496826173
43,10.62600040435791,11.29800033569336,2.215541128845215,2.236038623046875,11.020000457763672,11.359999656677246,2.1988943031311035,2.2202990509033205
44,18.738000869750977,18.444000244140625,2.123431215209961,2.1329302279663085,20.8799991607666,19.780000686645508,2.1010145683288575,2.114666179084778
45,15.760000228881836,14.85200023651123,2.2624462896728517,2.343258448791504,15.739999771118164,15.170000076293945,2.2516240356445314,2.3190635036468508
46,17.285999298095703,17.56999969482422,2.1567127410888673,2.1779843649291992,18.889999389648438,20.219999313354492,2.145835257720947,2.1528088554382325
47,16.832000732421875,16.45800018310547,2.174974662475586,2.207693060913086,16.639999389648438,16.31999969482422,2.166101280975342,2.1965274780273436
48,17.75200080871582,17.577999114990234,2.2800601611328126,2.2942542141723634,19.81999969482422,18.920000076293945,2.2447189266204832,2.2792751110076903
49,17.833999633789062,18.31800079345703,2.117955514831543,2.11572843170166,18.780000686645508,19.65999984741211,2.0871598876953126,2.106034224319458
50,14.767999649047852,14.741999626159668,2.1915176904296874,2.1909325384521483,14.399999618530273,14.1899995803833,2.1715236911773683,2.1901701930999757
51,14.8100004196167,14.73799991607666,2.408588446044922,2.3880380474853515,15.479999542236328,14.1899995803833,2.3983014614105223,2.4063855613708496
