epoch,train_acc1,train_acc2,train_loss1,train_loss2,test_acc1,test_acc2,test_loss1,test_loss2
1,12.378000259399414,10.5600004196167,2.324304063720703,2.331647145690918,13.3100004196167,10.760000228881836,2.3281046077728274,2.337618649673462
2,10.824000358581543,11.355999946594238,2.3151878036499025,2.3082330639648436,10.260000228881836,11.0600004196167,2.320542621231079,2.3139979988098145
3,13.996000289916992,12.571999549865723,2.2717716482543944,2.2900699850463866,16.030000686645508,13.220000267028809,2.2563336902618407,2.2900628467559816
4,13.857999801635742,13.37600040435791,2.2479753680419923,2.2649922442626953,14.420000076293945,14.149999618530273,2.225003049850464,2.250324541091919
5,17.143999099731445,16.25,2.1344436935424804,2.1906097052001954,19.510000228881836,17.520000457763672,2.08125486869812,2.1518352031707764
6,18.76799964904785,17.610000610351562,2.0719462240600586,2.1090831036376954,21.34000015258789,19.90999984741211,2.0263539474487304,2.067159052658081
7,19.920000076293945,18.57200050354004,2.037189140625,2.0796875421142578,22.600000381469727,20.90999984741211,1.9848706739425659,2.0326054267883302
8,20.031999588012695,19.121999740600586,2.0156421322631837,2.0447269134521484,22.5,21.950000762939453,1.95848890209198,1.9977567279815673
9,20.09600067138672,18.996000289916992,2.0042218341064455,2.0324967864990233,22.31999969482422,21.110000610351562,1.9341083318710328,1.9716855319976807
10,21.3799991607666,20.56800079345703,1.9881453607177735,2.0030430715942384,24.200000762939453,22.969999313354492,1.9180595224380492,1.9441405342102052
11,22.437999725341797,21.525999069213867,1.9714731253051758,1.9826131002807617,26.450000762939453,24.329999923706055,1.887374617576599,1.918337201690674
12,22.695999145507812,23.149999618530273,1.953698471069336,1.9612604608154296,27.93000030517578,28.079999923706055,1.8590330833435058,1.8839505506515504
13,24.65999984741211,24.04199981689453,1.9417056454467774,1.9508082321166993,30.170000076293945,30.899999618530273,1.8421572448730468,1.8591961046218872
14,24.865999221801758,24.41200065612793,1.9407939141845703,1.9465827304077148,29.469999313354492,30.1200008392334,1.8333536026000976,1.8463992332458496
15,25.11400032043457,25.4060001373291,1.9219322106933594,1.9292754138183594,30.489999771118164,31.239999771118164,1.8080871868133546,1.8238678283691405
16,26.378000259399414,25.66200065612793,1.91405771484375,1.9175488479614258,33.130001068115234,32.70000076293945,1.789673327255249,1.8061957681655885
17,26.615999221801758,26.027999877929688,1.9075845416259765,1.9139554312133789,33.029998779296875,32.099998474121094,1.7827691402435302,1.8024494970321656
18,27.775999069213867,27.256000518798828,1.8982838177490233,1.9013144836425782,35.38999938964844,33.59000015258789,1.765426435470581,1.7807534984588622
19,28.643999099731445,27.27400016784668,1.8871064883422852,1.8905975033569336,36.33000183105469,34.7400016784668,1.7432125879287719,1.7695371536254882
20,28.979999542236328,28.374000549316406,1.8747296270751954,1.8820694970703125,37.279998779296875,35.66999816894531,1.72239619140625,1.7481582220077514
21,29.016000747680664,28.31999969482422,1.8769011480712892,1.8803665618896483,36.7400016784668,36.0099983215332,1.7216548387527466,1.733501605796814
22,29.878000259399414,29.238000869750977,1.8660476239013672,1.863055574645996,38.43000030517578,36.61000061035156,1.7033624452590943,1.7168766269683837
23,29.854000091552734,29.93199920654297,1.8575394723510743,1.8554168872070314,38.790000915527344,38.52000045776367,1.6857110599517822,1.7012291730880738
24,30.672000885009766,31.13800048828125,1.848016869506836,1.841411297302246,40.2400016784668,39.72999954223633,1.679725919151306,1.6871632871627809
25,31.47599983215332,30.72800064086914,1.84011431640625,1.8516772012329101,40.68000030517578,39.38999938964844,1.6617660945892334,1.6774476497650146
26,31.799999237060547,31.266000747680664,1.8397190872192384,1.8403729946899414,40.869998931884766,40.470001220703125,1.6576410444259644,1.6684299612045288
27,32.09600067138672,31.988000869750977,1.8335844879150391,1.8322145663452147,41.40999984741211,40.66999816894531,1.645539174079895,1.6511979175567626
28,32.268001556396484,31.950000762939453,1.8314278839111329,1.8333301416015626,41.459999084472656,41.81999969482422,1.6357286907196045,1.6485981010437012
29,33.124000549316406,32.96200180053711,1.8217833834838868,1.8257603466796875,42.0,42.290000915527344,1.6293360996246338,1.6413602029800416
30,33.540000915527344,32.90800094604492,1.806319859008789,1.8167309603881836,42.86000061035156,42.209999084472656,1.61355970287323,1.6324785968780517
31,33.82600021362305,33.8120002746582,1.8045320050048828,1.8061145257568358,43.900001525878906,42.810001373291016,1.5997320915222168,1.6108217088699341
