epoch,train_acc,train_loss,test_acc,test_loss
1,9.906,2.3253200427246092,10.0,2.3288943756103517
2,9.906,2.3336051315307618,10.0,2.337288172149658
3,10.32,2.3249050134277343,10.0,2.3285861255645752
4,10.32,2.4038940097045898,10.0,2.4128844131469727
