epoch,train_acc,train_loss,test_acc,test_loss
1,10.34000015258789,2.303154342651367,10.869999885559082,2.3016673904418945
2,13.1899995803833,2.297985339050293,13.829999923706055,2.2939929458618162
3,10.550000190734863,2.2865862786865234,10.550000190734863,2.2692231616973877
4,12.892000198364258,2.2986028280639648,13.90999984741211,2.254350032043457
5,16.27199935913086,2.305195661621094,19.420000076293945,2.2371811042785645
6,18.59000015258789,2.284015389709473,21.360000610351562,2.197267150306702
7,19.413999557495117,2.2648490368652343,23.200000762939453,2.162701114273071
8,21.573999404907227,2.2391939501953124,25.8700008392334,2.1001648080825808
9,20.187999725341797,2.2309422930908203,24.719999313354492,2.07494320602417
10,22.398000717163086,2.3470013247680663,28.030000686645508,2.082715008163452
11,23.1200008392334,2.33429205657959,28.59000015258789,2.0478997903823855
12,23.511999130249023,2.321959948120117,29.68000030517578,2.0087988513946535
13,24.083999633789062,2.3063475387573242,30.360000610351562,1.9903092193603515
14,24.45800018310547,2.3230059878540037,30.809999465942383,1.9836806293487548
15,24.81800079345703,2.3253024267578124,31.459999084472656,1.9821228464126588
16,25.645999908447266,2.2721996917724607,32.15999984741211,1.9297111711502075
17,25.865999221801758,2.27170697265625,31.75,1.931482297897339
18,26.309999465942383,2.247265262451172,33.61000061035156,1.8939595809936522
