epoch,train_acc1,train_acc2,train_loss1,train_loss2,test_acc1,test_acc2,test_loss1,test_loss2
1,9.894000053405762,10.567999839782715,2.369627547607422,2.323632823791504,10.0,10.569999694824219,2.3617188999176024,2.3207351039886475
2,10.01200008392334,10.01200008392334,2.435336296081543,2.4450952438354494,10.0,10.0,2.4117497779846193,2.426526372909546
3,10.180000305175781,11.052000045776367,2.492099930419922,2.4711846752929687,10.229999542236328,11.25,2.466064831542969,2.439492509841919
4,14.112000465393066,14.949999809265137,2.4004420233154296,2.3772168579101565,15.119999885559082,15.949999809265137,2.3733356338500977,2.3495180770874025
5,16.239999771118164,15.1899995803833,2.3417666174316407,2.3680033993530274,16.90999984741211,15.720000267028809,2.2977443683624266,2.3267614734649658
6,10.803999900817871,11.284000396728516,2.453585795288086,2.4830668447875976,11.020000457763672,11.369999885559082,2.407210467147827,2.444272122955322
7,15.727999687194824,15.932000160217285,2.4414275271606445,2.4881466906738283,16.520000457763672,17.190000534057617,2.381453568649292,2.421593352508545
8,17.81999969482422,17.695999145507812,2.1910140744018554,2.2321460388183594,19.43000030517578,19.809999465942383,2.137231537818909,2.1740945568084715
9,17.395999908447266,17.416000366210938,2.2490269677734376,2.273010340576172,18.950000762939453,18.149999618530273,2.174621891593933,2.2076083776474
10,16.461999893188477,16.486000061035156,2.313529395751953,2.3289236584472657,17.950000762939453,17.579999923706055,2.2377257789611815,2.2588304929733276
11,18.45400047302246,18.534000396728516,2.1568053338623048,2.18129526763916,20.079999923706055,20.239999771118164,2.0792137746810915,2.114752201461792
12,18.97599983215332,16.527999877929688,2.3287630087280276,2.3486147143554685,21.43000030517578,18.90999984741211,2.208194545173645,2.2449160724639894
13,16.402000427246094,16.0939998626709,2.558545812988281,2.5975903500366213,17.209999084472656,16.8799991607666,2.4482036823272706,2.510215880584717
14,17.857999801635742,18.236000061035156,2.1904124240112304,2.215165842285156,19.1200008392334,19.079999923706055,2.0911791509628297,2.134425489807129
15,13.4399995803833,12.484000205993652,2.355671977844238,2.407032714538574,15.529999732971191,13.460000038146973,2.2015558643341064,2.300600726699829
16,18.506000518798828,19.777999877929688,2.1786332916259767,2.1854826428222656,20.68000030517578,21.100000381469727,2.0515547283172606,2.073316428756714
17,19.881999969482422,18.29599952697754,2.1587177368164063,2.1761127807617187,22.75,20.18000030517578,2.023523512840271,2.060554766464233
18,26.16200065612793,25.115999221801758,2.097002661743164,2.136772180175781,31.3799991607666,30.3700008392334,1.9443707614898682,2.0055977867126464
19,19.856000900268555,20.20400047302246,2.321644967956543,2.3023561557006835,22.8700008392334,23.0,2.1525746475219725,2.155638088989258
20,23.513999938964844,23.459999084472656,2.118056251831055,2.1290445736694337,28.010000228881836,26.93000030517578,1.9411905128479003,1.9823670627593994
21,19.257999420166016,19.36199951171875,2.3128969586181642,2.306099850463867,21.149999618530273,20.989999771118164,2.167949574279785,2.1726249752044677
22,21.416000366210938,21.645999908447266,2.1373339016723634,2.162241358642578,24.709999084472656,24.489999771118164,1.9629729858398437,2.001348713684082
23,23.07200050354004,23.33799934387207,2.0775975216674807,2.079237342224121,27.209999084472656,27.260000228881836,1.898852093887329,1.9118116855621339
24,16.851999282836914,16.65399932861328,2.8318583703613283,2.8057183874511717,18.889999389648438,18.329999923706055,2.5628744342803955,2.5698530689239503
25,25.32200050354004,25.51799964904785,2.0278963098144533,2.051559763183594,29.709999084472656,29.3799991607666,1.8746841079711913,1.9016054679870606
26,24.256000518798828,24.288000106811523,2.241324831542969,2.2587047488403322,28.450000762939453,27.969999313354492,2.0685381242752077,2.0801971408843993
27,27.356000900268555,27.399999618530273,2.034586548461914,2.0308953244018553,32.06999969482422,31.739999771118164,1.845060520172119,1.8501567705154418
28,24.606000900268555,25.16200065612793,2.119585049133301,2.0980463970947265,29.809999465942383,30.469999313354492,1.886258917427063,1.886709211730957
29,23.643999099731445,23.445999145507812,2.1422187127685546,2.139876753845215,28.389999389648438,28.260000228881836,1.9476870820999146,1.9488025840759278
30,27.507999420166016,26.634000778198242,2.0458767611694335,2.0809599111938475,32.08000183105469,30.729999542236328,1.8569171159744262,1.8894673316955566
31,20.06800079345703,19.97800064086914,2.1685553131103514,2.204068264465332,23.610000610351562,23.579999923706055,1.9508752531051636,1.9818265863418578
32,21.65999984741211,21.788000106811523,2.135081056213379,2.112177505493164,26.100000381469727,26.190000534057617,1.9328657152175903,1.923027872467041
33,21.70800018310547,21.56999969482422,2.095402499694824,2.090980914916992,25.979999542236328,25.579999923706055,1.864282573890686,1.871448740196228
34,23.488000869750977,23.06800079345703,2.066298854370117,2.0649680767822267,27.479999542236328,26.479999542236328,1.8590738315582276,1.8605253271102906
35,27.809999465942383,27.06599998474121,2.0419951358032224,2.061016893310547,32.83000183105469,31.479999542236328,1.830201774597168,1.8657385847091674
36,26.996000289916992,26.624000549316406,2.01947327545166,2.060686943054199,32.209999084472656,31.600000381469727,1.7925393516540526,1.8303374937057495
37,26.43199920654297,26.054000854492188,2.0720103274536132,2.075967502746582,30.3799991607666,29.959999084472656,1.873272455406189,1.884710743713379
38,23.916000366210938,24.158000946044922,2.2817407400512697,2.3112608212280272,28.389999389648438,28.309999465942383,1.9945061141967773,2.030011293792725
39,22.06800079345703,21.964000701904297,2.1483824893188475,2.1813327990722655,26.229999542236328,25.93000030517578,1.889640073776245,1.9183494247436523
40,18.6200008392334,17.618000030517578,2.317722614440918,2.3696943713378906,20.600000381469727,18.81999969482422,2.1164395137786864,2.186933143234253
