epoch,train_acc1,train_acc2,train_loss1,train_loss2,test_acc1,test_acc2,test_loss1,test_loss2
1,11.053999900817871,12.071999549865723,2.3828777178955076,2.3358969082641603,10.09000015258789,12.739999771118164,2.385888222503662,2.343098147583008
2,11.20199966430664,10.652000427246094,2.318184223327637,2.3265580743408205,11.979999542236328,11.300000190734863,2.3152155300140382,2.330452876663208
3,11.541999816894531,10.902000427246094,2.296649336242676,2.298479692993164,11.760000228881836,11.489999771118164,2.285005535888672,2.286052077484131
4,13.656000137329102,13.263999938964844,2.2785830017089843,2.2789355941772462,15.579999923706055,15.199999809265137,2.2556276111602784,2.2594634330749512
5,15.486000061035156,14.718000411987305,2.2305487783813476,2.245944108886719,18.670000076293945,17.260000228881836,2.1603616199493407,2.198235046386719
6,17.86199951171875,17.989999771118164,2.1882613690185546,2.197307985534668,22.350000381469727,21.950000762939453,2.069434469985962,2.087888489341736
7,18.913999557495117,18.827999114990234,2.1647736489868166,2.175450325012207,23.079999923706055,23.610000610351562,2.0459038721084593,2.058791000175476
8,19.516000747680664,18.552000045776367,2.1488776388549806,2.167696865234375,24.469999313354492,23.68000030517578,2.0008331968307496,2.0257982873916625
9,21.007999420166016,20.381999969482422,2.132855431213379,2.153957731628418,26.049999237060547,25.420000076293945,1.9026043075561523,1.9318870727539061
10,22.04599952697754,21.200000762939453,2.1159028063964844,2.133209179992676,27.34000015258789,25.6299991607666,1.8953078598022461,1.9248215606689454
11,22.81800079345703,22.474000930786133,2.1066787847900392,2.119374835205078,29.260000228881836,29.100000381469727,1.895769169998169,1.9178565992355348
12,23.04800033569336,22.516000747680664,2.1069359307861326,2.1149162475585936,29.940000534057617,30.020000457763672,1.9269490772247315,1.9379099994659423
13,23.200000762939453,22.558000564575195,2.1041716403198243,2.114731408996582,30.43000030517578,29.90999984741211,1.9163409622192382,1.929035496902466
14,23.5939998626709,23.70400047302246,2.093209133605957,2.099187900390625,30.8700008392334,31.489999771118164,1.8694726333618163,1.8715755613327025
15,23.757999420166016,24.097999572753906,2.0998183892822264,2.109621176147461,31.299999237060547,31.729999542236328,1.8000928327560424,1.804573628616333
16,25.27400016784668,24.913999557495117,2.0977461798095702,2.0960853802490234,33.470001220703125,33.13999938964844,1.7771832210540772,1.7851348375320435
17,25.43600082397461,24.95400047302246,2.0757050341796877,2.079543713684082,33.4900016784668,32.86000061035156,1.8168438335418702,1.8262554012298584
18,25.812000274658203,25.724000930786133,2.0757003253173827,2.0846695700073243,35.95000076293945,35.58000183105469,1.7670354793548584,1.7846410766601561
19,26.48200035095215,25.899999618530273,2.062558469543457,2.072732860412598,35.86000061035156,35.06999969482422,1.7626780460357665,1.7765981971740723
