epoch,train_acc,train_loss,test_acc,test_loss
1,11.857999801635742,2.399142241821289,12.729999542236328,2.3938997970581055
2,12.04800033569336,2.393082734680176,13.4399995803833,2.3711746536254883
3,13.387999534606934,2.2956759069824217,14.300000190734863,2.28239645652771
4,14.394000053405762,2.263986456604004,15.619999885559082,2.241326097869873
5,15.220000267028809,2.242298653869629,15.979999542236328,2.22743405418396
6,18.016000747680664,2.19106070892334,19.43000030517578,2.158627095031738
7,18.31999969482422,2.1414635705566405,19.3799991607666,2.1025844879150393
8,20.468000411987305,2.094919353942871,23.270000457763672,2.021172910118103
9,22.052000045776367,2.0549807751464844,23.8799991607666,1.9861829866409302
10,23.472000122070312,2.0268585958862304,25.65999984741211,1.9445060283660889
11,23.086000442504883,2.008609577331543,24.780000686645508,1.92655964012146
12,25.604000091552734,1.9810904275512695,28.09000015258789,1.8891861778259278
13,26.040000915527344,1.9616491564941407,28.149999618530273,1.876649472618103
14,26.70599937438965,1.9499840023803712,28.469999313354492,1.8651614259719849
15,28.00200080871582,1.9361269946289061,30.68000030517578,1.8550326032638549
16,28.76799964904785,1.9241582360839844,30.90999984741211,1.8299492988586425
17,28.43600082397461,1.916121016845703,31.110000610351562,1.8268813047409058
18,30.34000015258789,1.8964211502075194,33.66999816894531,1.8029184139251708
19,29.874000549316406,1.8853547088623046,32.349998474121094,1.7786338729858397
20,31.031999588012695,1.8858290509033202,34.22999954223633,1.7763186958312989
