epoch,train_acc,train_loss,test_acc,test_loss
1,11.180000305175781,2.3669097216796877,11.720000267028809,2.3659314777374267
2,11.550000190734863,2.583733903198242,11.699999809265137,2.572080583572388
3,12.097999572753906,2.4842753567504885,10.140000343322754,2.4692310859680178
4,13.637999534606934,2.2998187152099607,13.529999732971191,2.282020558547974
5,16.280000686645508,2.2242966751098634,15.579999923706055,2.222298529815674
6,14.368000030517578,2.334451775817871,15.130000114440918,2.3303814937591554
7,16.697999954223633,2.3521082415771484,16.309999465942383,2.3353951667785644
8,19.389999389648438,2.0983415270996093,20.540000915527344,2.0824906814575197
9,16.323999404907227,2.1854293899536135,18.479999542236328,2.168831629180908
10,18.333999633789062,2.2328195407104494,17.920000076293945,2.2288923305511474
11,21.104000091552734,2.0368750396728514,19.200000762939453,2.0338429874420165
12,19.61400032043457,2.0941594772338865,20.110000610351562,2.0946682220458985
13,18.851999282836914,2.14112587890625,18.709999084472656,2.087952621459961
14,18.799999237060547,2.158277474365234,19.3700008392334,2.111642132759094
15,17.25,2.2803479504394533,15.350000381469727,2.2502424560546874
16,20.916000366210938,2.0569738763427736,22.579999923706055,2.0555772397994994
17,20.29599952697754,2.125862703552246,19.81999969482422,2.1189860633850097
18,22.552000045776367,2.0708689401245115,23.15999984741211,2.0910620349884033
19,20.72599983215332,2.160437629699707,21.969999313354492,2.1665712810516355
20,20.261999130249023,2.1396678302001955,21.959999084472656,2.1567622383117677
21,18.804000854492188,2.438797631225586,18.889999389648438,2.3835106239318846
22,19.79599952697754,2.1750106170654298,17.170000076293945,2.16882385559082
23,21.739999771118164,2.107708098449707,22.059999465942383,2.176388646697998
24,17.035999298095703,3.291900612792969,15.979999542236328,3.358587331390381
25,22.077999114990234,2.0984476052856444,22.93000030517578,2.1212201444625856
26,22.979999542236328,2.6141129910278322,24.31999969482422,2.6830213596343992
27,22.493999481201172,2.206878261413574,23.729999542236328,2.2532710659027098
28,22.408000946044922,2.312162332458496,22.469999313354492,2.406740375518799
29,23.785999298095703,2.061809938659668,24.440000534057617,2.128708723449707
30,22.145999908447266,2.1940349392700194,21.979999542236328,2.2166583873748777
31,19.18600082397461,2.341888863220215,17.520000457763672,2.370075978088379
32,20.104000091552734,2.415128152770996,18.229999542236328,2.4530387031555176
33,22.375999450683594,2.208038777770996,21.43000030517578,2.305635594177246
34,22.628000259399414,2.2816147326660157,21.59000015258789,2.3444926971435547
35,22.917999267578125,2.292020351257324,21.690000534057617,2.3762068584442138
36,22.577999114990234,2.2383365432739257,22.290000915527344,2.308971574783325
37,24.281999588012695,2.2079767825317385,22.670000076293945,2.2937795249938966
38,25.31999969482422,2.185722950439453,25.010000228881836,2.2420414627075194
39,22.20400047302246,2.388043437805176,20.079999923706055,2.459442237472534
40,22.187999725341797,2.401249729003906,21.399999618530273,2.45537449760437
41,23.025999069213867,2.2646973251342772,21.809999465942383,2.324712689590454
42,25.302000045776367,2.251500615539551,24.1200008392334,2.314729064178467
43,24.381999969482422,2.18886623046875,22.690000534057617,2.26344568939209
44,25.219999313354492,2.152688652648926,22.8700008392334,2.250358594894409
45,23.874000549316406,2.432687276611328,20.889999389648438,2.5088227741241456
46,25.607999801635742,2.1747508139038088,23.09000015258789,2.3117120124816894
47,24.173999786376953,2.5446462390136717,21.739999771118164,2.6447277294158935
48,24.1560001373291,2.3877958782958983,20.690000534057617,2.566548536682129
49,25.68000030517578,2.3499457791137695,21.799999237060547,2.523255023956299
50,24.5,2.4689437942504884,22.559999465942383,2.648671231842041
51,22.384000778198242,2.7219346951293946,20.670000076293945,2.9131799896240236
