epoch,train_acc1,train_acc2,train_loss1,train_loss2,test_acc1,test_acc2,test_loss1,test_loss2
1,9.795999526977539,10.083999633789062,2.302779296875,2.3032578897094726,9.880000114440918,10.050000190734863,2.3025795204162596,2.302875712585449
2,10.527999877929688,10.718000411987305,2.301804980773926,2.3012276272583008,10.520000457763672,10.869999885559082,2.301448455810547,2.3006233013153077
3,10.289999961853027,10.305999755859375,2.300784344177246,2.2985756228637695,10.5,10.229999542236328,2.3002464096069337,2.297552743148804
4,13.65999984741211,17.604000091552734,2.3003131256103515,2.2955621533203123,14.6899995803833,19.219999313354492,2.2994971855163575,2.293730138015747
5,14.39799976348877,17.687999725341797,2.299435197753906,2.2877342776489256,14.930000305175781,18.75,2.298100666809082,2.283642915344238
6,18.312000274658203,16.607999801635742,2.2939641900634764,2.262942456970215,19.670000076293945,17.559999465942383,2.291314258956909,2.2519718044281007
7,14.687999725341797,19.143999099731445,2.2835077200317384,2.2511165057373046,15.5,20.6299991607666,2.276793657684326,2.227866798782349
8,17.29599952697754,21.052000045776367,2.244157458190918,2.1915057623291014,18.170000076293945,22.850000381469727,2.2246810844421385,2.1410804248809816
9,20.172000885009766,23.148000717163086,2.1888731427001953,2.173049942626953,21.8700008392334,25.84000015258789,2.1392608182907105,2.0847201293945314
10,23.700000762939453,24.260000228881836,2.1866968072509767,2.195622749938965,25.760000228881836,26.559999465942383,2.089332169151306,2.0763809228897094
11,25.474000930786133,25.652000427246094,2.1636074951171875,2.172596084899902,28.110000610351562,28.6200008392334,2.0385627595901488,2.0371376949310305
12,26.836000442504883,27.058000564575195,2.1694756546020506,2.1753363305664064,29.799999237060547,30.09000015258789,2.0182148115158083,2.0203876335144044
13,27.940000534057617,28.011999130249023,2.1367063317871096,2.1411746255493163,30.56999969482422,30.850000381469727,1.9771876094818115,1.983403454208374
14,28.964000701904297,29.166000366210938,2.14020419128418,2.14397174407959,31.8700008392334,31.989999771118164,1.9639737154006958,1.970601442718506
15,30.20199966430664,30.284000396728516,2.1133688372802735,2.120754538269043,33.290000915527344,32.939998626708984,1.937913346862793,1.944845352935791
16,30.513999938964844,30.601999282836914,2.092106291503906,2.0887880209350587,33.33000183105469,33.470001220703125,1.9110378002166748,1.9085831735610963
17,31.68600082397461,32.40399932861328,2.0703575607299807,2.0739870626831056,34.540000915527344,35.2400016784668,1.8832197072982788,1.8839956142425538
18,32.22600173950195,32.74599838256836,2.0755741619873045,2.0692899114990233,35.38999938964844,36.189998626708984,1.8733691711425782,1.8648991527557373
19,32.82400131225586,33.597999572753906,2.0441691360473633,2.034585637512207,36.290000915527344,36.9900016784668,1.8357335073471068,1.8218079145431518
20,33.46799850463867,34.194000244140625,2.0130113293457033,1.9959289056396485,36.86000061035156,37.630001068115234,1.8054527885437013,1.7837082458496094
21,34.58000183105469,35.59400177001953,2.006979626464844,1.9805766275024415,37.810001373291016,38.689998626708984,1.7857282299041748,1.7563930000305177
22,34.70399856567383,35.540000915527344,1.9847148794555665,1.9665467068481446,38.220001220703125,39.27000045776367,1.759576119041443,1.7324178333282472
23,35.87799835205078,36.41999816894531,1.9597756881713868,1.953784227294922,39.06999969482422,39.84000015258789,1.7299686988830567,1.717963988685608
24,36.6619987487793,37.55799865722656,1.9372779327392577,1.9157026214599608,40.439998626708984,41.15999984741211,1.705639249610901,1.6710808881759645
25,36.849998474121094,37.9900016784668,1.9323204095458983,1.9038425302124022,40.619998931884766,41.84000015258789,1.691830927658081,1.6529622444152832
26,37.61800003051758,38.78200149536133,1.9010381408691406,1.8841221090698241,41.689998626708984,42.540000915527344,1.6534435525894164,1.623996462059021
27,37.54600143432617,38.82400131225586,1.9308994750976562,1.9086175231933593,41.04999923706055,42.88999938964844,1.6641138505935669,1.630061760520935
28,38.42399978637695,39.80400085449219,1.8751765850830078,1.855361315612793,42.22999954223633,43.97999954223633,1.6282408643722535,1.5951771701812745
29,39.290000915527344,40.54399871826172,1.8678451696777343,1.8437808184814453,43.310001373291016,44.65999984741211,1.6092105699539185,1.5696926992416382
30,39.99800109863281,41.06399917602539,1.854142576599121,1.8303532815551757,43.52000045776367,45.02000045776367,1.5916865226745605,1.5535131797790527
31,40.41600036621094,41.551998138427734,1.8637422039794922,1.840454497680664,44.290000915527344,46.0099983215332,1.584884601020813,1.5451434892654419
32,41.16600036621094,42.16999816894531,1.839493851928711,1.8167455523681642,44.83000183105469,46.70000076293945,1.560769655418396,1.517791178894043
33,41.459999084472656,43.013999938964844,1.822083674621582,1.79943166015625,44.95000076293945,47.0,1.5459968748092652,1.499269285774231
34,41.61199951171875,42.96799850463867,1.8559664053344727,1.8201343112182617,45.220001220703125,47.279998779296875,1.560527184486389,1.5054465337753296
35,41.922000885009766,43.09199905395508,1.8173308737182616,1.790111269226074,45.77000045776367,46.959999084472656,1.543482188987732,1.4900502784729004
